GageID,SiteID,Date.Time,Discharge.ft3.s,Discharge.ft3.s_cd,GageHeight.ft,GageHeight.ft_cd
07032000,07032000,2014-10-01 02:00:00,314000,A,2.74,A
07032000,07032000,2014-10-01 03:00:00,313000,A,2.71,A
07032000,07032000,2014-10-01 04:00:00,312000,A,2.68,A
07032000,07032000,2014-10-01 05:00:00,312000,A,2.63,A
07032000,07032000,2014-10-01 06:00:00,311000,A,2.61,A
07032000,07032000,2014-10-01 07:00:00,311000,A,2.58,A
07032000,07032000,2014-10-01 08:00:00,310000,A,2.55,A
07032000,07032000,2014-10-01 09:00:00,310000,A,2.52,A
07032000,07032000,2014-10-01 10:00:00,309000,A,2.49,A
07032000,07032000,2014-10-01 11:00:00,309000,A,2.48,A
07032000,07032000,2014-10-01 12:00:00,308000,A,2.41,A
07032000,07032000,2014-10-01 13:00:00,307000,A,2.39,A
07032000,07032000,2014-10-01 14:00:00,306000,A,2.34,A
07032000,07032000,2014-10-01 15:00:00,306000,A,2.33,A
07032000,07032000,2014-10-01 16:00:00,305000,A,2.26,A
07032000,07032000,2014-10-01 17:00:00,305000,A,2.27,A
07032000,07032000,2014-10-01 18:00:00,304000,A,2.2,A
07032000,07032000,2014-10-01 19:00:00,304000,A,2.19,A
07032000,07032000,2014-10-01 20:00:00,303000,A,2.16,A
07032000,07032000,2014-10-01 21:00:00,303000,A,2.15,A
07032000,07032000,2014-10-01 22:00:00,302000,A,2.11,A
07032000,07032000,2014-10-01 23:00:00,302000,A,2.07,A
07032000,07032000,2014-10-02 00:00:00,301000,A,2.05,A
07032000,07032000,2014-10-02 01:00:00,301000,A,2.05,A
07032000,07032000,2014-10-02 02:00:00,3e+05,A,1.99,A
07032000,07032000,2014-10-02 03:00:00,299000,A,1.95,A
07032000,07032000,2014-10-02 04:00:00,299000,A,1.92,A
07032000,07032000,2014-10-02 05:00:00,298000,A,1.88,A
07032000,07032000,2014-10-02 06:00:00,298000,A,1.85,A
07032000,07032000,2014-10-02 07:00:00,296000,A,1.77,A
07032000,07032000,2014-10-02 08:00:00,296000,A,1.78,A
07032000,07032000,2014-10-02 09:00:00,296000,A,1.75,A
07032000,07032000,2014-10-02 10:00:00,296000,A,1.73,A
07032000,07032000,2014-10-02 11:00:00,295000,A,1.71,A
07032000,07032000,2014-10-02 12:00:00,294000,A,1.66,A
07032000,07032000,2014-10-02 13:00:00,293000,A,1.61,A
07032000,07032000,2014-10-02 14:00:00,293000,A,1.58,A
07032000,07032000,2014-10-02 15:00:00,292000,A,1.55,A
07032000,07032000,2014-10-02 16:00:00,292000,A,1.52,A
07032000,07032000,2014-10-02 17:00:00,292000,A,1.52,A
07032000,07032000,2014-10-02 18:00:00,291000,A,1.46,A
07032000,07032000,2014-10-02 19:00:00,291000,A,1.46,A
07032000,07032000,2014-10-02 20:00:00,290000,A,1.41,A
07032000,07032000,2014-10-02 21:00:00,289000,A,1.39,A
07032000,07032000,2014-10-02 22:00:00,289000,A,1.34,A
07032000,07032000,2014-10-02 23:00:00,290000,A,1.41,A
07032000,07032000,2014-10-03 00:00:00,289000,A,1.38,A
07032000,07032000,2014-10-03 01:00:00,289000,A,1.35,A
07032000,07032000,2014-10-03 02:00:00,288000,A,1.32,A
07032000,07032000,2014-10-03 03:00:00,288000,A,1.3,A
07032000,07032000,2014-10-03 04:00:00,288000,A,1.28,A
07032000,07032000,2014-10-03 05:00:00,287000,A,1.26,A
07032000,07032000,2014-10-03 06:00:00,287000,A,1.23,A
07032000,07032000,2014-10-03 07:00:00,286000,A,1.21,A
07032000,07032000,2014-10-03 08:00:00,285000,A,1.16,A
07032000,07032000,2014-10-03 09:00:00,284000,A,1.11,A
07032000,07032000,2014-10-03 10:00:00,284000,A,1.09,A
07032000,07032000,2014-10-03 11:00:00,283000,A,1.04,A
07032000,07032000,2014-10-03 12:00:00,283000,A,1,A
07032000,07032000,2014-10-03 13:00:00,282000,A,0.98,A
